Class,ALT,L8 NDWI med,L8 NIR mean,L8 Temp max,L8 Temp mean,L8 Temp min,TPI,Elevation,Slope
Shallow,0.0277386,0.061527811,0.451154023,310.0400123,278.1132488,216.0137001,-10.913269,392.5423,15.891602
Shallow,0.0285163,0.032770747,0.317246231,309.7358085,286.2512767,237.4549396,23.86966,534.9186,2.3318458
Shallow,0.0309091,0.044498965,0.471642383,311.6020474,278.1467881,217.4834487,24.355957,430.3781,28.012112
Shallow,0.0312322,0.124637757,0.319431172,304.6737209,276.6282259,226.7086847,-0.15338135,341.61472,0.28243592
Shallow,0.0314425,0.076734115,0.355775585,306.4921075,284.4746045,228.0861468,-1.5856018,395.71207,1.7211378
Shallow,0.0318445,0.354429625,0.231553269,302.2811069,281.4498,236.1287478,11.366272,431.59488,40.13208
Shallow,0.0328375,0.0358955,0.394949286,313.3315656,278.9181856,219.3086714,-2.0561218,282.2743,1.3274331
Shallow,0.0337134,0.31962323,0.330842206,300.9549151,280.8963653,167.0915799,-0.21784973,127.8983,0.6616741
Shallow,0.0369786,0.133713955,0.319248984,305.1693338,279.8801515,235.8723963,-0.92019653,369.4578,1.2472018
Shallow,0.0376617,0.073105485,0.379794531,304.3660991,278.6501984,232.570589,-1.0287476,344.6211,1.5542395
Shallow,0.0389462,-0.012676483,0.331222892,318.4825217,287.9778325,233.0525298,-1.5697784,178.08626,3.1531117
Shallow,0.04,0.110617505,0.376607969,302.0486815,275.0544413,222.2652587,-1.2072754,335.0218,1.742367
Shallow,0.04,0.164551886,0.220169655,305.9144622,284.7328744,250.4126534,-1.7294464,193.75984,18.484789
Shallow,0.04,0.30003649,0.357768276,306.5946481,277.5314598,218.6968458,11.583893,280.1579,5.7926135
Shallow,0.04,0.147551675,0.317987074,307.8285534,276.1020554,150.0014799,2.5272522,134.2467,7.898385
Shallow,0.04,0.200479627,0.361886302,303.843142,277.1625052,200.8274373,4.951782,186.8428,5.2288227
Shallow,0.04,0.324467958,0.296216638,303.6278068,282.9209702,238.3914771,0.43199158,152.18259,18.91424
Shallow,0.04,0.074068895,0.391150515,308.4848132,271.3402348,150.0014799,3.0515137,255.21292,7.796168
Shallow,0.04,0.216574294,0.30729791,302.7801378,275.9968693,233.6575194,-1.967968,19.694515,6.9160748
Shallow,0.04,0.244179822,0.276857237,302.0418455,278.9836127,232.8542847,0.49420357,20.669748,0.87078637
Shallow,0.04,0.187188054,0.44273933,307.8114633,275.1244497,150.0014799,13.333405,51.15885,24.66719
Shallow,0.04,0.188026807,0.410463333,285.5328089,285.5328089,285.5328089,10.410889,258.58597,36.914547
Shallow,0.04,0.20080658,0.443482321,293.0175171,271.8163452,242.8397675,-1.0114288,128.3972,27.109344
Shallow,0.04,0.253819289,0.443207976,293.9890137,272.5984497,245.434845,5.889084,157.16086,28.063002
Shallow,0.04,0.282650412,0.448694226,293.7593079,270.7067871,240.6546478,24.466705,310.5029,28.303658
Shallow,0.04,0.231274012,0.508347619,301.4095118,269.5163741,223.5880324,0.16802979,465.6567,25.141514
Shallow,0.04,0.171430021,0.438786369,297.3687439,272.5281372,245.2097778,7.0946655,332.37186,26.18228
Shallow,0.04,0.25852168,0.472940714,302.298197,273.1371152,232.4441223,7.983124,199.1402,11.588776
Shallow,0.04,0.26917564,0.444293571,287.9630211,287.9630211,287.9630211,-31.020798,210.5653,30.58939
Shallow,0.04,0.157151123,0.436162738,296.4932251,272.4261169,245.752121,6.867218,216.36906,30.316793
Shallow,0.04,0.278079529,0.46251625,294.550293,272.4195557,246.1897736,9.948532,244.74388,25.335054
Shallow,0.04,0.265412068,0.478845357,293.7073669,272.2035522,244.12117,10.453903,178.1835,27.97544
Shallow,0.04,0.288046983,0.349565366,295.7982178,276.5734253,245.218277,3.306118,25.029694,9.200919
Shallow,0.040303,0.196590035,0.410765242,304.2806486,281.5728673,249.1001337,-1.3712769,514.68195,1.3984216
Shallow,0.0405882,0.267798257,0.297994538,302.0862798,283.6516359,190.2008131,1.2326355,140.13916,0.6680385
Shallow,0.0405882,0.133001665,0.348178333,307.2953422,277.6312788,150.0014799,-1.8250427,189.70938,1.4906747
Shallow,0.0406897,0.284885303,0.323732647,302.9476208,278.7800077,150.0014799,-1.0806732,131.80186,7.082101
Shallow,0.0408571,0.241461128,0.455507024,292.9726868,271.8565674,242.8925323,-0.57032776,134.5422,26.576529
Shallow,0.0409182,0.033613316,0.291979096,304.9915968,282.9260232,239.3758668,-1.4290161,387.43472,0.3945709
Shallow,0.0409757,0.248206398,0.348044922,305.2547843,274.447636,226.3258665,-0.49847412,237.10808,0.77328146
Shallow,0.0411111,0.217784824,0.458674375,304.5335821,272.0409518,195.491908,8.266663,587,25.756954
Shallow,0.0413513,0.24816053,0.308555074,301.0335296,280.501584,150.0014799,6.040924,138.63824,15.124546
Shallow,0.0413513,0.236518718,0.331637051,299.7517721,274.7476412,230.0993605,0.7857647,8.136484,8.616483
Shallow,0.0415789,0.249717313,0.278603487,302.3255412,278.5555057,233.4866184,-0.007919312,20.169987,5.9227724
Shallow,0.0418182,0.173186626,0.357045833,303.4295616,285.3767193,218.6079773,-0.4484558,141.54366,1.177462
Shallow,0.042,0.148986523,0.274033776,300.8899728,279.8443168,150.0014799,-1.3367615,129.38812,1.0297818
Shallow,0.042,0.267283116,0.566189375,302.1102059,266.8034576,150.0014799,-7.9933777,328.8837,32.060135
Shallow,0.042,0.161305452,0.422835714,301.4778722,271.5266581,233.7327158,-7.2141876,150.52235,35.768467
Shallow,0.042,0.172066488,0.38273744,301.3958397,272.3211036,232.6184413,29.493256,216.48045,29.854664
Shallow,0.0421951,0.238384043,0.466489345,293.0871887,271.9772644,242.8485718,4.2519073,147.0201,33.651726
Shallow,0.0422222,0.294159827,0.549715625,301.9256328,269.3251018,150.0014799,-4.235321,291.42233,30.228062
Shallow,0.0422368,0.12061891,0.302458,302.1443861,283.337809,197.026599,0.1717987,136.636,0.795328
Shallow,0.0422581,0.289164586,0.382314118,300.5686789,278.7088325,166.3943038,2.0885773,137.12076,12.042122
Shallow,0.0423735,0.090917331,0.353085851,307.8969138,284.3344656,217.4082523,-1.5196533,390.42545,1.3661187
Shallow,0.0423809,0.224530186,0.402481702,301.3787496,269.324849,197.7307111,-0.6794281,76.05144,9.319083
Shallow,0.0423809,0.273005576,0.50429006,293.9717407,271.8838196,244.521698,-0.045791626,186.79546,22.460775
Shallow,0.0424,0.326519853,0.295792,301.2283567,283.4507089,187.6509702,3.817688,140.22879,6.944738
Shallow,0.0424444,0.313032198,0.280869661,305.6615287,281.4856415,247.093756,-20.301666,326.03345,2.5024438
Shallow,0.0424444,0.240749698,0.413446429,302.6058188,280.815732,234.2249107,5.2401123,112.57631,16.577032
Shallow,0.0424528,0.199916248,0.312765,303.5184301,280.6874108,177.1849929,1.5380096,135.77527,10.04792
Shallow,0.0424648,0.406985674,0.400233603,300.7190718,279.9750078,168.6399429,-2.0302124,127.98395,8.297793
Shallow,0.0424675,0.340689473,0.332982823,309.0453685,278.0530786,216.505895,3.781067,537.0989,16.23062
Shallow,0.0424806,0.239148974,0.333676846,302.1819843,282.7105235,184.9165542,-5.58165,134.22331,5.287788
